IUPAC,CAA 0.1ug/ml,CAA 1ug/ml,CAA 10ug/ml,CAA 100ug/ml
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,9.84235489538284,3.1793318190829565,1.1065235691871471,2.457594304056974
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1.7750754995680231,5.2716476370454295,8.84434375500334,5.925047072316525
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,4.504106104711567,3.4540018677615083,5.4422000137046265,10.709399339326492
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,8.696491763157557,6.3569094178434415,5.58551151253551,11.165897018563568
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,8.485572739018071,4.5454277114480615,10.09422804147664,10.24210197969635
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,9.016916265368486,4.1271464269112785,4.127454036388508,8.976213413748955
GalNAc(a1-3)GalNAc(b1-Sp8,2.356926596756884,1.6347730125311082,1.7519375566783186,2.8051401901984643
GalNAc(a1-3)Gal(b1-Sp8,9.957558548283814,5.060153522045226,5.7924337938958494,88.04738319974365
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,7.48400644062598,10.35898989187652,5.316256275723238,67.76246420260378
GalNAc(b1-3)GalNAc(a1-Sp8,9.169339987652693,3.6992404490651873,6.212058024519732,6.190578041602151
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,5.493718994375911,6.459523798753795,4.592047322182848,10.949569043079581
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,6.532309329466367,11.481501447981445,7.3128091667406885,21.018422730389
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.805349594953729,7.0622372887421445,8.038305947720993,1.8440109225544208
GalNAc(b1-4)GlcNAc(b1-Sp0,7.627082011435746,2.9745927400514285,4.697378410258931,14.820917913094075
GalNAc(b1-4)GlcNAc(b1-Sp8,10.834096149964084,7.379484229492832,6.981446725667491,3.390062954553109
Gal(a1-2)Gal(b1-Sp8,2.2279419217445247,15.590164595346645,7.748827528944834,6.991846614629076
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,2.882477269496962,8.524733204574012,5.623087069098848,2.0605226640749805
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,3.3749656041457263,9.67687789781222,7.526434436648366,19.74512340824102
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.6873303498391667,7.876239022316848,6.4873083046823075,13.06982051990386
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,3.3661754602466485,6.684289884186149,3.585122340543859,10.011987352502256
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,11.19491367106062,2.8118730203371505,4.34082002880792,2.733057060478857
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,6.8468087483634825,12.909330434224696,1.6409307297993998,7.465740449714312
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,4.2895335110592185,2.7432284099517887,3.6229784183734814,9.129946558578533
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,7.630381660779928,2.7331829039906324,6.493077931921039,10.013645833686157
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,4.292400109010498,7.668061640119144,5.403633197750689,2.5770638788810274
Gal(a1-3)GalNAc(a1-Sp8,5.079032308094393,4.399935890820834,7.27432714322546,4.347333345856977
Gal(a1-3)GalNAc(a1-Sp16,5.949058844052565,11.93653030976059,6.337387250476342,24.28873387258655
Gal(a1-3)GalNAc(b1-Sp8,1.1189522852502043,4.4978382326031525,6.556711546893506,12.73247380555588
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,11.301978716136405,10.263913050748886,5.611664463122018,6.550610596666932
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,4.482257223765722,4.15366206015848,2.3287987955166938,10.108367507952678
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,8.590549117638648,6.752571156912503,3.4078484111435072,17.095831087440697
