IUPAC,BPL (1ug/ml),BPL (10ug/ml),BPL (100ug/ml)
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,7.75125,10.112775,-0.4922249999999977
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,1.0160250000000008,16.10935,19.789775
Gal(a1-4)GlcNAc(b1-Sp8,1.7109500000000004,19.480075,-1.7436249999999998
Gal(a1-6)Glc(b1-Sp8,10.279825000000002,0.43067499999999903,9.201225
Gal(b1-2)Gal(b1-Sp8,3.4528,2.4435,11.467975000000004
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.739424999999999,20.615025000000006,721.8403000000003
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,716.864325,5051.193074999999,19580.40245
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,8.058925,7.124574999999997,45.34087500000001
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,-0.0220500000000019,6.0566749999999985,116.21997499999998
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,6.73375,2.802275,43.71117500000001
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,65.13175000000001,732.6987750000003,3055.1912
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,25.858825,10.202525000000003,10.936600000000002
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,1338.211075,8631.039299999999,24637.010575
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,220.4799,1952.0521000000006,11505.938775
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,4231.00545,12809.0101,22980.9603
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,93.899175,932.69125,6621.319425
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,4181.8533,10886.503975000003,23651.1995
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,559.5854499999998,3239.0990250000004,13746.100750000005
Gal(b1-3)GalNAc(a1-Sp8,1727.96175,6187.671350000001,22040.1725
Gal(b1-3)GalNAc(a1-Sp14,19.888525,115.113375,1530.31355
Gal(b1-3)GalNAc(a1-Sp16,31.52330000000001,98.71575,2257.032775
Gal(b1-3)GalNAc(b1-Sp8,3714.137325,10108.576925,22537.945075000003
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,1065.43415,3628.38505,9546.37405
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,239.366825,1535.5955249999995,17779.700624999998
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,4754.258975000002,13862.724625000004,28308.890025
Gal(b1-3)Gal(b1-Sp8,8.6785,2.7973,62.871025
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,968.5256750000003,6278.116999999998,18238.248275
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1438.565275,6654.194925,19260.1951
Gal(b1-3)GlcNAc(b1-Sp0,697.8053,3521.4802,17206.778675
Gal(b1-3)GlcNAc(b1-Sp8,713.9353000000001,3749.936725,17290.907225
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,774.8327500000001,3783.828025000001,13739.895975
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,888.7965250000003,4697.54545,19100.636025
