IUPAC,VGA(EY Lab) (1ug/ml),VGA(EY Lab) (10ug/ml),VGA(EY Lab) (100ug/ml)
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,1.2454000000000018,16.705975,1.6077499999999991
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,6.219725,2.047375,11.236075
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,5.2203,16.4825,0.7951750000000022
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,8.1984,14.066850000000004,17.831775000000007
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,17.94395,10.448999999999998,7.055024999999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,9.510775,7.551999999999996,32.637325000000004
GalNAc(a1-3)GalNAc(b1-Sp8,8.485225,5.9155750000000005,95.8541
GalNAc(a1-3)Gal(b1-Sp8,2.8161249999999995,11.419475000000002,173.61945
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,11.4311,17.436,153.560925
GalNAc(b1-3)GalNAc(a1-Sp8,13.359425,9.172375000000002,11.922925
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,16.585099999999994,19.47605,146.272825
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,2.672925,5.384249999999998,815.758925
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.361574999999998,10.222400000000002,16.185499999999998
GalNAc(b1-4)GlcNAc(b1-Sp0,4.057450000000003,9.645999999999997,136.0749
GalNAc(b1-4)GlcNAc(b1-Sp8,3.529799999999999,5.2059000000000015,80.13772499999997
Gal(a1-2)Gal(b1-Sp8,18.187875,105.72525,42.48924999999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,17.200125000000003,49.72485,73.57679999999998
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,20.715300000000006,25.602799999999995,29.310625
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.252,12.7297,64.15039999999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,12.383725,17.590224999999997,21.0988
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,7.252100000000001,12.001974999999998,42.48042500000014
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,9.63095,14.5306,40.596325000000036
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,4.335149999999999,5.559724999999987,76.19720000000002
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,15.955925000000004,7.914824999999999,24.07940000000001
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,5.5421749999999985,8.455825,219.520775
Gal(a1-3)GalNAc(a1-Sp8,12.38285,14.247425000000005,11.33565
Gal(a1-3)GalNAc(a1-Sp16,14.16395,8.0598,28.075800000000005
Gal(a1-3)GalNAc(b1-Sp8,8.1917,3.3281750000000008,16.260375000000003
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,15.794875000000005,18.2729,95.52304999999998
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,57.01109999999999,324.45775,213.20422499999995
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,11.3675,7.6814750000000025,51.02247499999999
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,5.7925,11.820825,104.582825
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,12.901825000000002,7.8147249999999975,198.052825
Gal(a1-3)Gal(b1-Sp8,13.162750000000004,5.991049999999996,116.50490000000002
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,13.878574999999996,5.7224749999999975,28.920575
