IUPAC,AIA (0.01ug/ml),AIA (0.1 ug/ml),AIA (1 ug/ml),AIA (10 ug/ml)
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,8.762674999999998,-2.701000000000003,-1.95825,-0.7402249999999952
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,-7.383975000000001,-17.884625,-6.615449999999997,-30.82325000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-5.5391749999999975,-16.491099999999996,-6.591475000000003,-25.11585000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,9.698999999999996,-10.254925,-4.956775000000004,-3.7434999999999934
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,13.524550000000005,-22.748875,80.80015000000002,43048.35419999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-19.028625,-23.014825,-14.6147,-35.321825
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,-13.447050000000004,-28.174375,-9.979024999999991,-29.448349999999994
GalNAc(a1-3)GalNAc(b1-Sp8,-10.247625000000003,-31.247250000000008,-14.707275,-37.16535
GalNAc(a1-3)Gal(b1-Sp8,2.519475,-14.154075,-4.980924999999999,-25.200574999999994
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-3.1771499999999957,-15.429950000000002,-3.0401999999999987,-20.423075000000004
GalNAc(b1-3)GalNAc(a1-Sp8,-2.946,-11.643875000000005,1322.744225,38198.3866
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,-8.69805,-25.407675000000005,-12.3979,1564.231675
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,-3.923475,-18.92185,1.10285,693.1382749999997
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.449024999999995,1.9944250000000008,3.688050000000004,-10.704249999999996
GalNAc(b1-4)GlcNAc(b1-Sp0,-13.222975,-23.884825,0.4317999999999955,-40.13397500000001
GalNAc(b1-4)GlcNAc(b1-Sp8,-7.812824999999997,-7.3650249999999975,0.034224999999999284,-20.702075
Gal(a1-2)Gal(b1-Sp8,-2.5933,-4.001925000000004,-2.237700000000002,-13.581775
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,5.091800000000001,-7.739124999999998,6.9991749999999975,-2.737575000000003
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,1.42375,4.87725,2.0983000000000067,0.6330500000000008
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.689800000000005,0.2417249999999989,13.630625,12.764450000000005
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,0.7206749999999982,8.009625000000002,3.605225000000001,12.722025
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,-5.535250000000001,-18.799225000000003,0.6925499999999989,-22.046375
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,19.420775,-3.9887249999999987,3.4936249999999984,-5.8678750000000015
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,3.519375,14.779850000000007,1.031875,1.3732999999999969
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,-3.4550249999999987,-23.50742500000001,5.954825000000002,-31.482925000000005
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,-5.744375,17.297325,-3.9826999999999977,3.0655999999999963
Gal(a1-3)GalNAc(a1-Sp8,17.346825000000006,-12.528225000000004,12.298075,35325.05207500001
Gal(a1-3)GalNAc(a1-Sp16,-1.1527749999999983,-11.428724999999998,-0.8891999999999971,32.556124999999994
Gal(a1-3)GalNAc(b1-Sp8,-9.426075000000004,-8.408949999999997,10.508799999999994,-22.740025
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-16.514024999999997,-1.6392750000000031,-4.548699999999997,12.456875
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,-9.1042,-14.098549999999998,1.5268250000000023,2.879550000000002
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,-3.2996000000000016,-13.711175000000004,0.6167999999999978,7.0955749999999975
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,-9.144300000000003,-11.616949999999996,-9.406525,-10.948150000000002
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,-7.387249999999999,-18.5597,8.305374999999998,-12.958475
Gal(a1-3)Gal(b1-Sp8,23.17755,-12.795825,-15.295475,-6.602725000000008
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-4.119149999999999,-4.103850000000001,3.09005000000002,-11.20235
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,4.759,-6.8220249999999965,24.003950000000003,-0.41372499999999945
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,20.08375,1.890975000000001,1.936474999999998,-14.563274999999996
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,16.304849999999995,8.132800000000003,-0.9617249999999996,18.25735
Gal(a1-4)GlcNAc(b1-Sp8,-0.8110499999999998,-13.7521,-3.06165,14298.833275
Gal(a1-6)Glc(b1-Sp8,-8.681424999999999,-14.168225000000005,10.379075000000002,1196.9077250000005
Gal(b1-2)Gal(b1-Sp8,-3.624675,-4.625575000000001,1.9329750000000023,-9.756799999999998
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1.6696999999999989,-21.923075,-13.124175000000005,-11.022075
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-6.28625,5.554475,-2.187975,11.884350000000005
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,-5.3252000000000015,-20.522924999999994,-2.1799500000000034,-21.861575
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,-0.6686999999999976,-2.712574999999997,2.106625000000001,-29.889125
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,-4.234499999999999,-20.1525,-2.744574999999997,-26.510125
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,2.4196999999999997,-13.950300000000002,12.689449999999995,-23.13145
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,-3.3518500000000007,1.5405000000000015,25.746150000000004,-10.421924999999998
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,18.1439,-0.20827499999999866,4.420399999999997,-4.361525000000004
