IUPAC,DBA (0.1ug/ml),DBA (10ug/ml),DBA (100 ug/ml)
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,15.24750346,10.24505547,11.41160714
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,9.80106379,26.37971357,22.99180916
Gal(b1-3)Gal(b1-Sp8,3.67208664,6.280829962,11.15107213
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.0962320960000005,9.710356275,12.0414808
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,5.436464709,3.202457512,2.119657332
Gal(b1-3)GlcNAc(b1-Sp0,24.31745586,4.0870653930000005,10.64318604
Gal(b1-3)GlcNAc(b1-Sp8,7.081617801,8.701117417999999,5.555853055
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.181907938,6.3969004,8.221338798
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,3.325299812,6.360455601,13.63562063
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.961621406,10.68283888,14.37986074
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.34409321,12.31010868,7.669591807000001
Gal(b1-4)(6S)Glc(b1-Sp0,11.51081202,8.539476801000001,23.88016532
Gal(b1-4)(6S)Glc(b1-Sp8,9.685028619,7.51222979,15.57776347
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,9.863012871,6.370351855,3.0276560810000004
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1.829349665,22.3263382,5.068156017
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,5.481469726,5.04124315,13.37188174
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,8.510605894,6.532393612999999,10.38431015
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.297310239,7.983056055,9.839155078
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.785666609,12.23682477,6.087206672000001
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.8718408669999995,35.69693851,13.74207526
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,1.425213129,7.087771747000001,12.98865802
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,9.748015359,18.10396208,4.047321562
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,2.14276739,62.37851571,2.3987740719999997
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,5.88742052,2.213840242,11.29428842
Gal(b1-4)GlcNAc(b1-Sp0,32.67155492,24.12474714,7.460979557000001
Gal(b1-4)GlcNAc(b1-Sp8,10.04087438,5.577009799,12.404777900000001
Gal(b1-4)GlcNAc(b1-Sp23,7.740752541,9.134574922999999,3.9399011010000002
Gal(b1-4)Glc(b1-Sp0,8.680485888,4.482729188,7.229884242000001
Gal(b1-4)Glc(b1-Sp8,5.880078853,5.240703063,15.57845423
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,8.285062868999999,1.577632991,11.28145408
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,9.292242887,2.345163578,22.09869735
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,13.14260462,21.56334411,12.09358736
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,3.512129987,10.63669136,22.20174475
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,3.738861915,13.26002175,16.64406818
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,4.052401422,11.92358211,9.984254399
GlcNAc(b1-3)GalNAc(a1-Sp8,10.16891266,0.853984884,6.192546137999999
GlcNAc(b1-3)GalNAc(a1-Sp14,5.8832554560000005,7.057804427000001,16.91539609
GlcNAc(b1-3)Gal(b1-Sp8,4.034489465,16.91216651,8.138179225
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.896435302,14.48203213,8.540625608
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,7.12174193,4.960878258999999,7.946994597000001
