IUPAC,STL (0.1ug/ml),STL (1ug/ml),STL (10ug/ml),STL (100ug/ml)
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1112.7225,2957.766525,9160.927475,9718.947975
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,8.163225,16.439974999999997,6.412575,22.701925
Gal(b1-3)GlcNAc(b1-Sp0,0.4687750000000008,8.7208,2.5379250000000004,24.11160000000001
Gal(b1-3)GlcNAc(b1-Sp8,3.462225,9.291975,18.384675,114.38565000000004
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.570975,7.3064750000000025,38.288225,194.2089
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1.077675000000001,2.915725000000001,32.11942500000001,458.45334999999983
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.103274999999998,8.9569,18.551425,47.49589999999999
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.349325,6.693649999999999,8.424949999999997,46.11202500000002
Gal(b1-4)(6S)Glc(b1-Sp0,13.412950000000002,8.662125000000001,8.142999999999999,46.35759999999999
Gal(b1-4)(6S)Glc(b1-Sp8,11.7558,19.79805,18.402975,39.891999999999975
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1778.1790999999994,4545.46105,13705.023500000005,17348.58015
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1029.5179,2618.8137,10642.854925,13980.156675
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,6.267949999999997,10.7054,1074.3411999999996,430.61885
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,13.595875000000005,9.854075000000002,32.2656,68.485
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.448849999999995,8.866600000000004,36.04557500000001,278.59415
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1894.22345,4079.4156,13195.029949999998,16686.9902
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2823.508825,7523.37125,20414.9762,20667.44105
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,0.9571749999999994,29.45915,1505.3865250000006,714.3257249999997
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,22.755400000000005,15.182825,2206.966625,689.4250249999999
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,1265.618825,5104.269925,12537.157974999998,11500.400275
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,12.995225,211.00835000000006,3110.86325,2102.8697
Gal(b1-4)GlcNAc(b1-Sp0,1601.7997,4686.5847,7918.8609499999975,8322.11055
Gal(b1-4)GlcNAc(b1-Sp8,2559.410175,5904.6212,16387.6135,19103.78945
Gal(b1-4)GlcNAc(b1-Sp23,1566.6877999999995,3775.21845,18052.697124999995,17240.516900000002
Gal(b1-4)Glc(b1-Sp0,9.712125,13.1308,4.110474999999998,5.3811
Gal(b1-4)Glc(b1-Sp8,5.374625000000003,19.236025,8.616200000000001,46.73644999999999
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,3151.823475000001,5434.292500000001,16409.889725,24023.8192
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,10.468699999999997,5.199124999999999,14.50815,45.64005
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,8.672025000000001,21.14435,18.95565,40.28385
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,18.714650000000006,13.838425,111.12154999999998,519.045175
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,8.5781,13.183049999999998,122.212375,757.958275
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,8.801875,26.289525,140.30710000000002,1042.4775750000003
GlcNAc(b1-3)GalNAc(a1-Sp8,15.6894,14.117975000000005,102.956875,516.657125
GlcNAc(b1-3)GalNAc(a1-Sp14,6.391125000000002,10.164949999999996,104.4715,297.30252500000006
GlcNAc(b1-3)Gal(b1-Sp8,5.609350000000001,13.647650000000002,62.415675,130.35545000000002
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2100.22935,4908.718425,14604.88925,14814.595700000002
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,1950.554325,3441.53,13406.669975000004,16211.125449999996
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2437.859925000001,6323.23415,17780.152250000006,19013.701475
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,9.097475,14.41765,65.60592500000001,375.4535
GlcNAc(b1-4)(a1-MDPLys,14.358875,1.7764250000000006,61.154825,8.343924999999999
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,8.156975,3.896024999999998,8.173549999999997,23.754425
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,2860.5601749999987,6552.661774999999,19097.361475,18799.717225
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,2453.409875,5379.612100000002,8922.580950000003,10147.31025
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,2685.117925,5659.539174999999,9526.772475000002,10761.921749999998
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,4128.5386,10898.02355,22254.436050000004,21290.873825
GlcNAc(b1-6)GalNAc(a1-Sp8,12.904375,10.809375,41.7114,28.106600000000004
GlcNAc(b1-6)GalNAc(a1-Sp14,12.651375000000005,4.037025000000001,5.269125000000002,25.282175
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,11.695049999999995,5.225524999999998,7.037225000000001,149.038275
Glc(a1-4)Glc(b1-Sp8,1.4785750000000009,11.01,14.054975000000011,27.585324999999994
Glc(a1-4)Glc(a1-Sp8,19.93725,14.706024999999995,18.02725,24.644524999999994
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,12.459300000000002,8.658549999999998,12.451674999999993,34.84539999999999
Glc(b1-4)Glc(b1-Sp8,5.167674999999996,9.353125,12.295875000000002,37.93767499999999
Glc(b1-6)Glc(b1-Sp8,18.51555,20.262425,16.917875000000002,25.28125
G-ol(a1-Sp8,18.0818,10.336125,6.407249999999998,14.169975000000004
GlcA(a1-Sp8,19.376375,6.608499999999998,12.317425000000002,21.735199999999995
GlcA(b1-Sp8,35.30657500000001,40.313225,43.7928,36.01147500000001
