IUPAC,VVL (0.1ug/ml),VVL (1ug/ml),VVL (10ug/ml),VVL (100ug/ml)
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,9.2782,4.967625,5.420225,7.41065
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,6.46245,5.656175,17.42225,-0.12005
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,7.163125,7.5841,18.64285,30.50095
Gal(a1-3)GalNAc(a1-Sp8,59.88165,25.22555,35.90695,59.279875
Gal(a1-3)GalNAc(a1-Sp16,19.59335,12.94085,27.253275,1.25385
Gal(a1-3)GalNAc(b1-Sp8,5.6583,14.9871,8.1935,4.78725
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,2.024875,14.038475,12.7319,3.110875
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,6.499725,6.7957,4.277525,15.0044
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,0.82545,4.04255,7.092575,-1.029825
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,18.9449,6.594975,9.586925,15.17655
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,5.4394,3.897975,12.669825,2.4403
Gal(a1-3)Gal(b1-Sp8,15.99305,8.45455,8.22855,-0.805275
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-3.807025,3.2347,7.438675,7.429675
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,6.53275,8.895625,11.5537,12.47325
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,7.7812,1.11135,-0.167625,20.371075
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,5.3029,16.444225,11.683775,3.774275
Gal(a1-4)GlcNAc(b1-Sp8,8.0996,4.22995,9.3538,344.84545
Gal(a1-6)Glc(b1-Sp8,-0.283625,11.741625,14.405625,10.578825
Gal(b1-2)Gal(b1-Sp8,28.304025,13.6135,-0.240625,23.952775
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,29.143575,2.421725,7.016675,7.388375
