IUPAC,UDA 0.1ug/ml,UDA 1ug/ml,UDA 10ug/ml,UDA 100ug/ml
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.681781864575614,7.200543670446041,9.880064814564733,6.113242613921567
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,1.008282038915698,5.456164785741608,7.862448156638831,6.996879932453224
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,7.453253190833294,12.819864818417539,14.38685696098468,12.972616128181945
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1.1298219192273908,15.128441116211107,6.113725827117751,4.872775637066641
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,4.282042565081141,2.909846154438411,2.666925283761557,5.342824751321467
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,1.6945679498523163,15.871215109200056,8.685754385342701,6.070373105227278
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1.6358658958382497,15.101283733152197,3.3495373785046847,12.968925757202616
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,9.114336419436503,9.175846316053542,13.279400044021815,4.0221831322264086
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,4.401584040149634,11.532785396822725,6.5180995371222545,1.2580551180293569
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.0348569058613775,8.710543638363413,6.314988682689786,6.074383027861072
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.8816734179851675,17.637618914600306,2.7729242944047274,16.278423100636424
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.2518126819628295,4.409545308759169,6.233583204439213,5.034733044478794
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.345080443111528,5.370952372019322,2.0319599372690997,6.9540828258776655
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.468303501627513,4.479230871756892,22.648066987769585,75.22194850805386
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.2644061563067392,2.8264997464473014,10.870643218166387,939.0134999604633
