IUPAC,CF-05/27/2011 (0.1ug/ml),CF-(05/27/2011) (1ug/ml),CF-05/27/2011 (10ug/ml),CF-(05/27/2011) (100ug/ml)
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,47.3361,88.60345,560.253625,5138.986375
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,33.071949999999994,16.54092499999999,115.699,667.6129500000002
GlcNAc(b1-6)GalNAc(a1-Sp8,41.28055000000001,25.313000000000002,938.4106,8530.933575000001
GlcNAc(b1-6)GalNAc(a1-Sp14,58.54315000000001,31.54877500000001,161.317725,91.771475
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,20.544474999999995,23.0311,13.385225000000013,12264.40075
Glc(a1-4)Glc(b1-Sp8,93.3857,59.12360000000002,183.9812,47.258475
Glc(a1-4)Glc(a1-Sp8,93.789575,62.62044999999999,617.2832999999998,37.787999999999975
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,135.10739999999998,86.16907499999998,1091.597175,114.560275
Glc(b1-4)Glc(b1-Sp8,127.13985000000002,76.04677500000003,527.405775,106.37234999999987
Glc(b1-6)Glc(b1-Sp8,150.81162500000005,124.87784999999998,2101.32475,809.9832250000003
G-ol(a1-Sp8,149.62065,107.7022,888.3721500000001,221.7682
GlcA(a1-Sp8,446.022425,133.2577,924.0764,-12.768724999999964
GlcA(b1-Sp8,2976.088975,2501.1,3915.395,3395.732100000001
GlcA(b1-3)Gal(b1-Sp8,114.88914999999996,173.541625,368.5650999999999,172.86482500000002
GlcA(b1-6)Gal(b1-Sp8,101.74179999999996,82.65597500000001,682.5551500000001,75.1832
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,86.08779999999999,109.39560000000004,5761.8397250000025,19979.771175
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,75.30185,63.95492500000001,127.41962500000002,24.65685000000001
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,50.88449999999999,28.97375,290.345925,237.003225
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,138.02047499999998,54.88825,162.771325,213.02105
Man(a1-2)Man(a1-3)Man(a1-Sp9,81.1217,28.53725000000001,151.01975000000004,82.64654999999998
