IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,68.08730916,34.55036832,49.22759876,62.95415023,45.56370212
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,17.66132665,81.19926693,103.7864013,104.5525242,78.60489762
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,44.38771295,15.31154135,13.63199518,40.43537486,61.80309448
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,50.07202681,108.3256075,11.6458608,20.25915987,47.66357958
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.914697008,85.8833239,52.44860325,37.92993915,37.92056952
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,56.81834336,44.81666167,26.54251916,38.01386446,61.76619011
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,50.52528135,53.99813872,35.85261683,26.42338457,85.32737051
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.350302689,19.0660522,13.45978126,23.34055987,74.45509802
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,30.7440953,32.52412806,13.47187083,82.69272099,122.0827417
GalNAc(a1-3)GalNAc(b1-Sp8,27.9308557,50.29277411,6.753953591,62.0136271,63.65693034
GalNAc(a1-3)Gal(b1-Sp8,101.4979373,75.68374173,12.9734526,14.33954318,51.72430525
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,61.71352221,116.7049379,56.84942603,99.26524428,10.83238053
GalNAc(b1-3)GalNAc(a1-Sp8,41.03984365,28.98873983,18.98819903,34.07869856,27.25771047
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,107.9931345,133.3687758,14.92041083,22.86857515,44.02877197
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,60.86756053,91.51785806,149.4890949,103.4340606,60.74016759
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,86.87522793,48.90416231,59.06086476,131.4801937,29.19995036
GalNAc(b1-4)GlcNAc(b1-Sp0,106.6894158,45.14622292,34.30179888,33.04565997,1378.16923
GalNAc(b1-4)GlcNAc(b1-Sp8,126.1384847,117.4299479,38.54201666,76.0481322,126.7604493
Gal(a1-2)Gal(b1-Sp8,35.33982572,39.22514069,16.53325746,34.65261206,58.27014989
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,107.8849745,31.32708594,82.3052281,24.15447815,13.68352072
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,78.14823758,119.6473887,18.30323459,41.92441837,739.6088483
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,72.45358628,35.02338479,60.71704377,30.48484567,131.5514852
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,47.12513414,73.32869328,40.34214125,46.48182819,54.86723858
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,81.23629949,47.96193332,20.31007169,17.7604702,64.60215249
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,42.71605698,104.5050536,44.38241451,42.30143945,115.9459233
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,41.46924414,41.87971944,94.15916148,60.42560743,62.97697153
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,156.4095803,48.37173176,41.06971064,19.836209,38.71400989
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,97.36627144,166.9160117,121.6594973,35.73916031,58.18308208
Gal(a1-3)GalNAc(a1-Sp8,71.18425334,50.62472853,67.40940223,63.23521833,87.96823929
Gal(a1-3)GalNAc(a1-Sp16,52.27901095,59.70198277,47.98776595,14.30266821,29.68893061
Gal(a1-3)GalNAc(b1-Sp8,67.70440727,20.89181366,34.69877284,22.40947078,35.85605428
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,66.73425099,103.811706,27.51109422,27.50989926,36.58389468
