IUPAC,PNA 0.1ug/ml,PNA 1ug/ml,PNA 10ug/ml,PNA 100ug/ml
GlcA(b1-6)Gal(b1-Sp8,10.482025,32.113275,4.98545,5.4037
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,2.6146,17.39245,9.9832,-64.8324
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,4.8873,19.117525,11.153675,-2.263725
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,2.857525,18.601225,4.5102,-1.469625
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,0.28605,13.694825,1.3045,5.85925
Man(a1-2)Man(a1-3)Man(a1-Sp9,5.15885,28.733375,11.054175,-2.880425
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.82125,13.72975,3.74735,30.2466
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-3.3586,11.547325,3.1161,-10.883425
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,14.031,13.414325,25.610025,64.6883
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,5.311175,16.284675,1.666275,5.6051
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,13.82915,11.163875,9.0144,0.067775
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,122.954375,107.804,72.455675,282.667725
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,17.29045,9.750075,6.3776,2.336425
Man(b1-4)GlcNAc(b1-Sp0,8.9248,14.819,7.3932,8.944575
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-7.254175,34.437925,19.9298,-1.333425
(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,9.76305,16.354025,6.257825,-2.8593
Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,11.068775,3.71415,6.699775,1.735475
