IUPAC,VVL (0.1ug/ml),VVL (1ug/ml),VVL (10ug/ml),VVL (100ug/ml)
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,7.944572715,3.58080262,1.3711059019999998,27.93676944
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,10.69461577,8.828834361,15.49047104,16.69778583
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.602689707,14.26196558,15.10222441,17.12614455
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,2.257552783,2.3839898369999997,6.140538418999999,20.51009737
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,3.9453974260000004,5.337309682,9.417194517,4.510068438999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1.2232620029999999,12.10795071,5.449916729,7.828232887
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,5.354318955,2.797444356,5.353384683,2.840695344
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,5.949685164,4.89899149,11.52277986,5.303691306
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,5.253723189,3.270545792,19.52466312,7.254395213
Gal(a1-3)GalNAc(a1-Sp8,31.75622653,17.06578537,5.966311942000001,22.22475801
Gal(a1-3)GalNAc(a1-Sp16,7.7321192629999995,6.2269436879999995,16.4881889,9.438891566
Gal(a1-3)GalNAc(b1-Sp8,2.572215811,9.516911981,9.335248548,3.187599149
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,2.807740512,7.0711303,5.263720338,1.7766691559999999
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,3.207501602,4.882857484,4.914661913,5.4337756760000016
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,4.832681827,3.142538444,5.412322082,2.953645085
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,9.579022092999999,9.509955302,3.2554530689999996,21.70702395
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,3.918619498,5.22620191,5.260324139,7.322049791
Gal(a1-3)Gal(b1-Sp8,8.06751101,9.869812355,8.00864366,7.1268255179999995
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,6.354746185,5.838808775,12.33583319,10.75040359
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,10.70013195,11.14566081,11.51811738,15.23785126
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,9.898424364,4.63842938,6.489943234,7.9895580310000005
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,18.05081953,15.20513088,9.107159961,4.721657924
Gal(a1-4)GlcNAc(b1-Sp8,8.531858072999999,6.835469115,8.090554178,31.95570569
Gal(a1-6)Glc(b1-Sp8,2.76959508,9.814767389,7.660338887999999,11.10426936
Gal(b1-2)Gal(b1-Sp8,20.94226471,8.610552052000001,1.843528747,18.01540383
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,22.33454327,4.241077234,4.556698741,5.251745454
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.341121107999999,6.808615722000001,4.602857988999999,1.4276140169999998
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,7.966615029,6.7133832579999995,1.087290693,5.277066478
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,5.233934986,8.041731039,1.458759959,2.526370665
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,10.73139116,6.581285966,6.3778605960000005,5.676382661
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,1.8969485609999999,5.24710705,1.785013514,7.897665412
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,3.141440919,5.609924405,9.375537134,5.0259953269999995
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,4.45346302,3.0956311380000003,11.73872192,9.57855368
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,2.238015163,1.7475079880000002,10.17808514,3.130207253
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.7140569160000005,10.04149309,4.747882775,1.879094417
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,4.060332355,2.995090825,5.4196064160000015,9.71206438
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,6.08983643,5.94108879,1.527868534,9.860456086000001
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,4.3287774310000025,5.656489955,1.745832881,4.581481739
Gal(b1-3)GalNAc(a1-Sp8,4.485722212,7.289918707000001,2.38215607,7.044166402
Gal(b1-3)GalNAc(a1-Sp14,8.962145064,7.570928747999999,3.948655123,9.662172351
Gal(b1-3)GalNAc(a1-Sp16,18.35539738,12.15434769,1.576782044,22.55371657
Gal(b1-3)GalNAc(b1-Sp8,6.262760051,10.56111454,11.01824843,13.77429656
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,9.515099354,0.970374321,2.8330180339999997,8.627931528
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,7.961277168,2.000133799,23.72168787,3.8808481739999996
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,6.2924952560000005,11.93358105,6.169613749,12.13392226
Gal(b1-3)Gal(b1-Sp8,4.898356746,7.321042156,2.7417592969999998,15.82245921
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.629058229,2.585471421,6.587860427000001,3.8330865430000003
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,15.20114945,8.5686166,7.14312231,3.036812327
Gal(b1-3)GlcNAc(b1-Sp0,10.76810878,9.184393585,10.43434868,11.19762156
Gal(b1-3)GlcNAc(b1-Sp8,8.118427599,7.982772229,10.17689434,5.72021279
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.6595230969999997,8.18397266,5.301966769,11.17243075
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,18.34248983,5.2071134269999995,7.3998683189999985,11.42726524
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.118140838,5.863329819,2.952413719,7.09260437
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.603245404,3.190262917,5.690104289,4.990992574
Gal(b1-4)(6S)Glc(b1-Sp0,1.479352075,4.73974997,3.6188892239999997,7.353776801
Gal(b1-4)(6S)Glc(b1-Sp8,9.625101779,3.572154775,8.786602576,12.29595213
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,6.209195798,5.452068307,6.2312139539999984,7.2537606860000015
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.636329169,6.0490883989999995,4.823412386,9.695969138999999
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,6.7004072379999995,3.961183824,3.9540917330000003,14.28914545
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,3.4535847439999996,9.995652813,7.4890417010000006,8.498677752
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.66886482,4.406119642,7.07166638,5.312361063
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.140438603,1.0348763890000001,6.591499464,2.824128095
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.207984972,5.312546532,3.061759038,7.375529521
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,5.809109943999999,6.196581388999999,6.7065291579999995,5.544777535
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,3.4829009010000003,4.379160328,7.324110642999999,16.98780619
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,4.046677392,3.756470901,9.589136,14.46449938
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,4.937386605,4.45571631,13.82651842,16.12116771
Gal(b1-4)GlcNAc(b1-Sp0,45.30070744,2.269462458,7.584339746,13.8364465
Gal(b1-4)GlcNAc(b1-Sp8,4.522724858999999,2.302527971,6.186388395,25.58914982
Gal(b1-4)GlcNAc(b1-Sp23,8.615863753,4.749040593999999,4.177740114,3.145895111
Gal(b1-4)Glc(b1-Sp0,4.307899713,1.537381343,6.0280557429999995,38.85099449
Gal(b1-4)Glc(b1-Sp8,7.955144781,3.786079275,0.757384065,21.61909707
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,5.424300876,14.06162774,4.334456891,8.895509498
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,5.955413002,7.073882594,6.347667424,8.805278821
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,8.005027181,6.979002691,14.27539895,2.868191605
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,5.72867558,4.945950237,3.6840353880000003,3.645335358
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,10.74244101,3.07837171,2.341838165,4.106403059
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,6.456171586,11.45704957,8.339771322,3.496922568
GlcNAc(b1-3)GalNAc(a1-Sp8,5.41547201,1.153835102,1.273775633,12.13274114
GlcNAc(b1-3)GalNAc(a1-Sp14,3.066622123,10.18780676,13.2005809,15.12662606
GlcNAc(b1-3)Gal(b1-Sp8,6.176900787999999,6.393263435,11.58607185,3.056455713
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.378586285,7.0311013560000015,9.530226413,4.594396338999999
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,7.07146793,3.893391054,4.429297832,10.70813431
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.10662536,4.085717221,9.33025873,7.551735234
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,9.743007858,3.3775448110000004,4.182794595,3.797105433
GlcNAc(b1-4)(a1-MDPLys,11.69217152,5.068976453,2.63542607,5.018394485
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,2.0238797490000002,7.0366309560000015,10.51977269,10.81239394
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,11.33641401,7.792046817,2.954393402,1.5730649330000002
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,5.5598643160000005,7.644997445,1.820107331,3.358941747
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,19.53932008,2.99060305,4.523950355,10.4595933
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,3.0952204539999997,7.335978901,4.627663763999999,10.34431611
GlcNAc(b1-6)GalNAc(a1-Sp8,12.30256881,2.493944885,10.10948477,41.39922756
GlcNAc(b1-6)GalNAc(a1-Sp14,6.4279131110000005,11.68364547,6.675389676,10.24548058
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,4.552820735,10.47213599,12.0864769,7.166069242000001
Glc(a1-4)Glc(b1-Sp8,19.59611515,4.267409023,6.934590504,9.204227936
Glc(a1-4)Glc(a1-Sp8,6.29385608,4.949793375,3.934829146,5.288188594
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,5.620612024,4.446782048,4.376450891,1.2863565559999999
Glc(b1-4)Glc(b1-Sp8,6.045422246,7.935249757,3.9676139160000004,3.942599672
Glc(b1-6)Glc(b1-Sp8,6.000743543,5.2113797889999995,9.14452996,2.873398505
G-ol(a1-Sp8,2.466021039,1.692015089,7.526866826,10.23920945
GlcA(a1-Sp8,7.090449775,1.90818969,13.24940577,4.712871400000001
GlcA(b1-Sp8,6.627349444,38.33577261,8.624918087000001,25.98751008
GlcA(b1-3)Gal(b1-Sp8,3.564289275,11.44473054,3.866200125,7.496242883
GlcA(b1-6)Gal(b1-Sp8,12.66010773,7.439709195,4.321204748,11.05335886
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,10.56672725,7.367284662,2.9473189630000003,4.818671411
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,4.3083740939999995,3.728701076,7.913548183,23.53827879
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,4.009707213,5.148889163,14.79883425,1.999165246
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,4.565364648,9.491541838,3.4143804269999998,2.739140584
Man(a1-2)Man(a1-3)Man(a1-Sp9,7.281934793,4.061954388999999,4.9452487210000005,8.094422696
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.263151696,2.530948173,7.9091422489999985,2.530668924
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1.9322903580000002,4.0019675160000014,7.595978839,10.13145998
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.417525027,5.670620676,24.60932556,10.52037447
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,8.513275429,10.49000199,17.43684503,3.4828997139999998
