IUPAC,Gal-3C (0.5ug/ml),Gal-3C (2ug/ml),Gal-3C (5ug/ml),Gal-3C (20ug/ml),Gal-3C (50ug/ml)
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,11.004224999999998,16.931400000000007,29.034875,25.099449999999994,21.67332500000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.119375,9.906924999999998,18.750975,8.7335,31.90495
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,25.64255,11.971225,24.044075,15.693449999999995,18.069975000000003
GalNAc(a1-3)GalNAc(b1-Sp8,22.584125,14.588024999999995,21.184525,26.44690000000001,14.325874999999993
GalNAc(a1-3)Gal(b1-Sp8,10.222449999999998,9.309325000000003,4.806000000000001,8.118775,12.742849999999995
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,4.384799999999999,9.425625,16.308475,24.409099999999995,46.98665
GalNAc(b1-3)GalNAc(a1-Sp8,29.555550000000004,10.057824999999998,23.68715,21.0262,12.935275
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,29.054925,20.384725,21.9856,14.350275,22.12080000000001
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,27.811900000000005,34.191400000000016,16.1542,34.866074999999995,70.54704999999998
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.171274999999996,39.103575,30.434849999999994,45.199775,32.552625
GalNAc(b1-4)GlcNAc(b1-Sp0,27.246200000000016,33.637775000000005,45.19242500000002,40.71912499999999,47.47822500000001
GalNAc(b1-4)GlcNAc(b1-Sp8,15.370700000000005,36.470325,29.647175,40.729575,78.12575000000002
Gal(a1-2)Gal(b1-Sp8,5.66995,7.610849999999999,7.391425,8.969725000000002,6.58355
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,21.427425,165.58645,537.3011500000001,1291.4379,3238.40815
