IUPAC,LFA(EY Lab) (1ug/ml),LFA (EY Lab)  (10ug/ml),LFA(EY Lab) (100ug/ml)
Gal(b1-4)(6S)Glc(b1-Sp0,43.71717500000001,47.2239,128.71005
Gal(b1-4)(6S)Glc(b1-Sp8,31.606749999999995,35.00385,108.49185
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,25.04195,22.488849999999992,46.2409
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,31.592025,4.932875000000003,58.0064
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,245.73555000000005,14.194300000000002,356.158225
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,381.07675,137.29885,331.25515
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.67335,36.48552500000001,77.2385
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,73.35649999999998,24.07804999999999,116.4713
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,30.632425,27.933125,93.55075
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,69.816825,41.41182499999999,95.7222
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,19.4426,18.421425,57.27315
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,21.59835,45.44637499999999,24.396449999999994
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,23.44625,48.756925,35.910225
Gal(b1-4)GlcNAc(b1-Sp0,12.277350000000007,40.56610000000001,38.813425
Gal(b1-4)GlcNAc(b1-Sp8,13.440499999999998,19.602925,146.649425
Gal(b1-4)GlcNAc(b1-Sp23,4.7034249999999975,17.771475000000006,53.179075
Gal(b1-4)Glc(b1-Sp0,8.232999999999999,39.717025,36.70075
Gal(b1-4)Glc(b1-Sp8,31.749324999999967,35.08452499999999,33.853125
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,6.7496250000000035,29.043624999999995,494.26450000000006
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,5.384699999999999,11.664099999999996,111.33267499999987
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,154.03955000000005,22.88010000000001,262.08087500000005
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,5.39625,19.731325,24.168025
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,45.198525,22.83762500000001,43.48782500000002
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,27.744975,8.336974999999992,34.72085000000001
GlcNAc(b1-3)GalNAc(a1-Sp8,87.496975,37.444575,284.95652499999994
GlcNAc(b1-3)GalNAc(a1-Sp14,72.32612499999998,32.02567499999999,159.777175
GlcNAc(b1-3)Gal(b1-Sp8,44.8438,38.139525000000006,85.14695
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,15.704299999999995,21.421500000000005,96.7197
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,39.608525000000014,38.88797499999999,90.08605
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,23.276074999999995,17.01305,86.49415000000002
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,25.784049999999993,17.252225000000006,73.51067499999998
GlcNAc(b1-4)(a1-MDPLys,15.696849999999998,44.044825,59.6103
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,28.804399999999994,4.865725000000001,22.99177499999999
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,3.854175,4.111900000000002,28.43065000000001
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,419.28545,1483.058,3868.774125
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,197.12850000000003,670.5527000000002,2726.4267000000004
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,37.55287499999999,20.331,78.0144
GlcNAc(b1-6)GalNAc(a1-Sp8,24.41177499999999,25.57032499999999,243.191275
GlcNAc(b1-6)GalNAc(a1-Sp14,16.0047,17.280874999999998,41.690275
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,17.385550000000002,11.815275000000002,50.83495000000002
Glc(a1-4)Glc(b1-Sp8,32.64517499999999,24.470075,54.48457499999999
Glc(a1-4)Glc(a1-Sp8,15.837599999999995,35.725125,40.9528
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,25.406625000000005,50.706875,36.267025
Glc(b1-4)Glc(b1-Sp8,25.444625,31.565325,74.59794999999998
Glc(b1-6)Glc(b1-Sp8,33.677725,27.474125,95.32285000000002
G-ol(a1-Sp8,31.287975,42.79114999999999,56.89382499999999
GlcA(a1-Sp8,96.25695000000003,94.18495,148.842825
GlcA(b1-Sp8,355.69154999999995,781.5143499999997,307.4713500000001
GlcA(b1-3)Gal(b1-Sp8,44.79472499999999,49.46697499999999,78.23595000000002
GlcA(b1-6)Gal(b1-Sp8,44.449375,33.210025,81.435325
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,38.43467500000001,40.53635000000001,117.44279999999998
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,39.70435000000001,38.168925,69.80417499999999
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,11.3925,69.85267500000002,109.23042500000004
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,58.095950000000016,72.30839999999998,96.56225
Man(a1-2)Man(a1-3)Man(a1-Sp9,84.344125,34.93429999999999,70.47455000000002
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,49.69137500000001,69.12255000000002,119.55635
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,27.67445,57.99229999999999,99.6561
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,185.882975,403.41977500000013,203.261
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,33.03915,32.922225000000005,108.51225
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,32.519375,108.67335000000004,99.7449
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,476.90212500000007,838.4858749999999,413.244725
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,14.813474999999983,50.12635,83.898325
Man(b1-4)GlcNAc(b1-Sp0,91.072575,17.14419999999999,249.410375
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,23.1473,45.49460000000001,26.06659999999999
(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,13.548450000000004,13.776325,31.940225000000005
Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,13.258,12.634425000000002,161.98112500000005
Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,21.166525000000004,5.8963500000000035,38.05732499999999
Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,29.386949999999985,15.385,70.299825
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,82.36634999999998,24.393574999999995,241.90320000000003
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,137.73547499999998,36.966425,232.1885
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,40.21005,48.33335000000001,47.6216
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,89.73255000000003,141.17345,127.9692
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,29.13582499999999,25.406475000000004,44.41035000000001
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,51.11109999999999,52.57,93.302675
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8,25.1863,20.610350000000004,61.71795
Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,20.235150000000004,8.5365,17.114424999999994
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0,93.66015,45.100775,176.305875
