IUPAC,AOL (Mahal Lab) (0.1ug/ml),AOL (Mahal Lab) (1ug/ml),AOL (Mahal Lab) (10ug/ml),AOL (100ug/ml)
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,8.119775,9.8665,4.839174999999997,15.35235
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,21.3267,26.46765000000001,8.307350000000001,15.415800000000004
Gal(b1-3)Gal(b1-Sp8,6.0302500000000006,17.177874999999993,3.827399999999999,45.87645
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,10.187549999999996,12.991849999999996,9.688825,10.883724999999998
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,5.062525000000001,9.69515,35.59735000000001,126.92892500000002
Gal(b1-3)GlcNAc(b1-Sp0,7.092800000000002,8.273125,13.815999999999999,9.477200000000003
Gal(b1-3)GlcNAc(b1-Sp8,16.107549999999996,13.787824999999994,12.5633,14.74
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,972.3618,7664.079424999996,21020.8604,17223.1113
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,851.5805500000001,9150.269275,18531.494375,20806.819025
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2072.261525,12271.219675,25209.122000000003,20559.5807
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2406.945775,15469.480050000006,19709.4008,19252.234175
Gal(b1-4)(6S)Glc(b1-Sp0,14.89285,11.123225,12.914174999999998,35.140674999999995
Gal(b1-4)(6S)Glc(b1-Sp8,23.579025,25.918575000000004,25.587824999999995,54.1902
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,240.90795000000003,1316.5304,3119.2654999999995,5402.256575000001
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,7.149074999999997,44.75735000000001,418.18965,1860.8220500000007
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,25.0423,17.56435,4.4825,13.351074999999998
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,13.907800000000002,15.4341,11.040425,34.397800000000004
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1362.168075,8943.318775,21759.869925000006,18403.1013
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,12.957875,19.4081,20.645999999999994,14.14565
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,13.206899999999996,7.008999999999999,6.647724999999998,24.893225
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,15.61875,10.36855,11.931425,5.7531
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,10.922700000000004,6.559074999999997,4.898024999999997,21.351675000000004
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,3.467575000000002,10.325599999999998,9.838375000000003,31.347375
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,24.45897499999999,5.620825000000003,21.14365,17.804424999999995
Gal(b1-4)GlcNAc(b1-Sp0,49.58545,32.606399999999994,8.782250000000001,21.13965
Gal(b1-4)GlcNAc(b1-Sp8,19.01955,9.583374999999998,3.7665749999999982,17.539050000000003
Gal(b1-4)GlcNAc(b1-Sp23,12.868525,15.470675000000005,12.866125000000002,7.253474999999997
Gal(b1-4)Glc(b1-Sp0,21.857400000000005,13.170325000000002,27.248225,40.8334
Gal(b1-4)Glc(b1-Sp8,3.1563750000000006,9.013975,27.2188,10.648075
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,-1.0928249999999975,14.954425,3.9500500000000014,10.489049999999997
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,7.781825000000001,2.8391,7.645125,15.802750000000005
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,14.39025,5.212475,44.089300000000016,53.77572500000001
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,10.78015,18.429225,17.295575,2.6231500000000025
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,7.854975,13.800074999999996,23.269800000000004,38.425975
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,4.126074999999998,11.108825000000005,14.860250000000002,10.30425
GlcNAc(b1-3)GalNAc(a1-Sp8,16.190075000000004,19.828850000000006,31.762874999999994,15.568499999999998
GlcNAc(b1-3)GalNAc(a1-Sp14,15.7156,3.71185,14.266924999999995,5.555375
GlcNAc(b1-3)Gal(b1-Sp8,16.678,2.170399999999999,5.9017750000000015,22.342949999999995
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.4551000000000016,12.838499999999998,9.241575,15.652699999999996
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,5.232725000000002,12.337600000000002,5.555800000000001,12.48765
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,22.563775000000003,8.562949999999999,13.364725000000002,8.607999999999999
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,17.681225,9.016075,18.326950000000004,11.476674999999998
GlcNAc(b1-4)(a1-MDPLys,9.169624999999998,14.133899999999995,26.6274,6.644325
