IUPAC,AAA (0.1ug/ml),AAA (1ug/ml),AAA (10ug/ml),AAA (100ug/ml)
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,11.5257,-0.06564999999999976,2.0972250000000017,36.624425
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,23.976875,3.650599999999999,38.88695,34.735125
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,2.9605750000000004,-6.819349999999997,14.028550000000005,15.587925000000002
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,6.120300000000002,-4.741425000000003,12.135,19.819625
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,12.920574999999996,18.920275,1781.081225,13626.307974999994
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,12.791974999999981,-2.1362250000000014,46.46294999999998,126.90600000000002
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,19.3598,13.5634,72.50680000000003,203.92655
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,7.840925,-17.239099999999993,5.341524999999999,21.993825000000005
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,1.2909000000000006,-4.821375,4.693024999999999,-5.450524999999999
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,30.58807499999999,16.726974999999992,12.079525000000002,46.78507499999999
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.708825000000001,-3.6432,6.489074999999998,51.60334999999999
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,10.688674999999996,1.5625249999999973,16.76875,-8.114399999999995
Gal(b1-3)GalNAc(a1-Sp8,5.28205,-0.3734750000000009,14.864224999999998,72.76502500000002
Gal(b1-3)GalNAc(a1-Sp14,4.9578000000000015,3.7322250000000015,22.398149999999994,62.58170000000001
Gal(b1-3)GalNAc(a1-Sp16,8.258425,3.280175,8.855400000000003,88.39755000000002
Gal(b1-3)GalNAc(b1-Sp8,11.625350000000005,4.925875,13.106675,32.01614999999999
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,14.166449999999996,-1.869975,19.434675000000006,28.411925
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,3.2067249999999987,-1.214875000000001,6.540825,31.261675000000004
