IUPAC,ConA 0.1ug/ml,ConA 0.5ug/ml,ConA 1ug/ml,ConA 10ug/ml,ConA 50ug/ml,ConA 100ug/ml 
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,21.84635,16.743724999999994,14.530924999999998,109.91859999999987,412.69125,311.9207
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.347099999999998,6.400425,12.53845,-3.4009250000000013,-54.12797500000002,-21.66765
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1.0366250000000008,-5.569699999999999,-0.4327750000000013,93.84077499999997,-31.1929,129.66787499999992
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.867799999999999,-3.891024999999998,1.437650000000001,10.879099999999998,-9.751075,7.660975000000008
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.526349999999997,-3.4451,8.339224999999995,5.636675,-16.634175000000027,582.0502500000002
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,0.28279999999999905,-2.670350000000001,2.383549999999998,22.605975,12.764299999999993,-6.389699999999976
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,3.909200000000002,3.6454999999999966,-8.02715,11.437749999999996,-20.367449999999995,18.159474999999983
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,19.4104,-0.15397500000000086,-5.191125,81.567825,-6.1069999999999975,-42.72525000000002
Fuc(a1-2)Gal(b1-Sp8,10.579300000000003,-2.452375,0.045275000000000176,16.941574999999993,-32.772600000000004,-72.05417499999997
Fuc(a1-3)GlcNAc(b1-Sp8,2.9117999999999977,-3.259475000000004,-0.955099999999998,15.051975,-15.709024999999995,-42.391475
Fuc(a1-4)GlcNAc(b1-Sp8,-9.170550000000002,-4.997574999999999,-5.775424999999998,-2.1453999999999978,-42.2139,-86.34477499999998
Fuc(b1-3)GlcNAc(b1-Sp8,5.0705,0.3302750000000003,-3.430324999999998,8.27375,-21.608350000000005,-27.515200000000014
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,-0.7797500000000017,-7.662924999999999,-1.2597750000000012,0.8652499999999996,53.331074999999984,-115.16200000000002
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,33.438725000000005,1.4215999999999998,3.4320499999999967,29.191800000000004,-39.92,-44.891775
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,9.30355,-3.184075,7.713225000000001,25.000650000000004,-13.482325,-15.425825000000033
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,-2.630725,1.001800000000003,4.884975,9.1843,2.625474999999998,-6.736600000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.75375,-4.251875,-0.6808750000000003,13.5137,-26.454325,-25.063099999999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,10.1158,3.083575000000004,2.4843,23.167700000000004,-11.70645,26.745
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,5.741725000000002,2.8847749999999994,8.653499999999996,29.0962,3.5061000000000035,-20.627425
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-8.941175,0.05367499999999836,-0.0442499999999999,39.48287500000001,-24.289050000000003,-2.666474999999992
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,4.230650000000002,-0.031200000000001893,11.276825,11.04,-7.101649999999999,58.59642500000001
GalNAc(a1-3)GalNAc(b1-Sp8,-0.10965000000000202,-2.8123249999999995,0.8801749999999995,7.6062500000000455,-35.353675,313.5715
GalNAc(a1-3)Gal(b1-Sp8,7.145075,0.31032499999999885,-3.1732750000000003,159.0597250000001,-14.55657500000001,-71.888125
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-6.827724999999999,-1.2162999999999986,-2.2634,1.6810000000000027,-21.41667500000001,99.57262500000002
GalNAc(b1-3)GalNAc(a1-Sp8,10.886849999999995,11.681300000000002,5.961349999999998,-0.5116750000000003,83.40324999999996,-30.358824999999946
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,-0.31514999999999915,-3.256350000000001,7.070150000000003,-1.4388250000000014,-37.24117500000001,12.181950000000008
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,18.889625,-2.012175000000001,-0.2540999999999993,6.8843250000000085,-54.10017500000001,118.75197500000002
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.119174999999997,11.347025000000002,24.97450000000001,17.68495000000002,-38.77850000000001,-99.61057499999998
GalNAc(b1-4)GlcNAc(b1-Sp0,-5.096924999999999,-4.536999999999999,-3.3229999999999995,71.86430000000001,-11.790949999999995,-42.38009999999995
GalNAc(b1-4)GlcNAc(b1-Sp8,1.0938000000000017,-4.6066,-3.0814000000000017,8.130525000000006,-3.5473000000000066,0.19760000000002265
Gal(a1-2)Gal(b1-Sp8,2.1218499999999985,2.5303500000000003,5.1014,56.113475,-1.306949999999997,390.675125
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,15.351125,15.001625,10.750375000000002,24.028075,17.450499999999987,226.300675
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,22.501400000000004,20.746500000000005,16.040274999999994,143.92600000000004,-24.7543,-9.566424999999981
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,35.52332499999999,0.725225,4.4766249999999985,54.86444999999999,97.79927499999998,2.5481750000000147
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.580575000000002,-2.697149999999999,-2.9158500000000025,74.67570000000002,-45.743725,427.88125
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,5.9128000000000025,3.367875000000004,-7.382199999999999,12.234175000000004,-10.729050000000004,-9.895600000000016
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,7.933125,-8.132625,-11.763975000000002,15.457999999999998,-38.806400000000025,-41.20525000000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,0.9399999999999996,-3.0389500000000016,9.469550000000003,38.10707500000001,-18.971475,24.57755
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,4.904474999999998,1.3208500000000019,5.1358250000000005,12.084174999999998,14.420700000000005,-41.59927500000001
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,14.793550000000007,12.618474999999998,3.4289499999999986,2.6408500000000004,-48.851174999999984,-0.8512999999999806
Gal(a1-3)GalNAc(a1-Sp8,23.030975,27.1391,46.5562,6.698650000000002,9.213899999999997,-36.51024999999999
