IUPAC,CA 0.1ug/ml,CA 1ug/ml,CA 10ug/ml,CA 100ug/ml
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,13.784799999999995,7.2215000000000025,14.428199999999995,-12.1481
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,29.47005,12.941624999999998,11.438249999999995,-80.81952499999998
Gal(a1-3)GalNAc(a1-Sp8,33.21444999999999,31.9827,43.138525,17.39935
Gal(a1-3)GalNAc(a1-Sp16,14.4364,12.023699999999998,13.964125,11.06155
Gal(a1-3)GalNAc(b1-Sp8,7.383575000000002,13.483825000000007,3.974075000000002,-28.59675
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,9.476024999999998,2.6433500000000008,8.7193,11.10935
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,27.543650000000003,2.9054499999999988,2.30375,-11.447050000000008
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,6.700075,5.502699999999999,3.7779250000000006,1.1960250000000006
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,11.19075,4.4875,5.846424999999997,-42.65129999999999
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,3.02,9.759375,11.509774999999998,23.160325
Gal(a1-3)Gal(b1-Sp8,15.464575,9.220124999999996,5.582925000000001,-89.66397500000002
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2.9308750000000017,16.990625,16.678874999999998,18.425950000000004
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,26.40695000000001,14.5044,9.00945,32.74627500000001
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,8.221550000000002,12.388775000000004,12.772875,17.486725
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,11.163899999999998,10.61907500000001,7.970150000000004,32.127124999999985
Gal(a1-4)GlcNAc(b1-Sp8,3.3453000000000017,2.87625,-0.6562000000000001,11.0078
Gal(a1-6)Glc(b1-Sp8,15.851175,14.06525,7.68845,22.934225000000005
Gal(b1-2)Gal(b1-Sp8,5.237075000000001,7.677349999999998,14.766925,17.6625
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.136699999999999,11.099449999999996,3.5074000000000005,8.230900000000004
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.038875000000001,7.7643499999999985,6.843724999999999,-0.94285
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,12.5345,2.191975,6.825,33.143874999999994
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,7.165399999999997,4.198174999999999,3.9404749999999993,-3.2909500000000023
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,12.475549999999995,9.0972,8.79495,10.911925000000005
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,10.895625,2.2495749999999983,10.511474999999997,26.501875
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,23.1613,15.525575,5.697375000000001,-23.251924999999986
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,22.788375,20.761775,9.12705,2.0851750000000067
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,3.614150000000003,8.241449999999999,-1.296475,7.450600000000001
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,1.95215,10.707725,1.5521249999999993,-48.69772500000001
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,4.473900000000002,4.630225,7.354699999999998,12.439299999999998
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,1.8752749999999985,6.3573749999999976,8.585399999999998,-31.49884999999999
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,5.053924999999999,-0.8627249999999975,4.195575,5.0415249999999965
Gal(b1-3)GalNAc(a1-Sp8,7.773050000000002,-0.9521249999999988,5.766550000000001,-44.15482499999999
Gal(b1-3)GalNAc(a1-Sp14,16.929100000000005,0.424375,9.3539,-11.959099999999998
Gal(b1-3)GalNAc(a1-Sp16,38.703225,4.050125000000001,3.4579500000000003,-111.25390000000004
Gal(b1-3)GalNAc(b1-Sp8,29.322525,12.601925000000005,1.1848750000000008,27.748150000000038
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,14.1535,12.7235,9.4898,5.251275
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,2.8579000000000043,10.365475,20.752599999999994,3.822449999999998
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,18.343399999999995,9.138775,3.6443999999999983,33.1106
Gal(b1-3)Gal(b1-Sp8,5.4325,7.220875000000001,10.1467,21.623925
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.202175,4.3168,3.1698499999999985,8.866225000000002
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-0.4502749999999995,2.415549999999998,2.3303,6.9144999999999985
Gal(b1-3)GlcNAc(b1-Sp0,4.550875000000003,3.8273750000000017,5.00965,20.485249999999994
Gal(b1-3)GlcNAc(b1-Sp8,8.032025,5.702025,0.4554750000000016,0.5516750000000012
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,17.1095,20.544875,15.470925,8.504650000000002
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,15.073875,6.243425000000001,15.282775,2.162974999999996
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.11375,15.103174999999995,21.9769,23.3753
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.7598000000000016,-0.07224999999999904,12.368774999999998,-14.3797
Gal(b1-4)(6S)Glc(b1-Sp0,6.558099999999998,5.11965,10.49205,-74.789075
Gal(b1-4)(6S)Glc(b1-Sp8,25.756825,10.718650000000002,17.60335,10.563499999999998
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1.96625,7.653575,9.672325,6.299775
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,6.48375,4.244075000000001,7.061299999999999,0.862924999999997
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,6.3238499999999975,3.140725,12.133725,4.6941500000000005
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,3.824425,8.993474999999998,3.9800999999999993,18.85585
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.974699999999995,4.618525000000001,25.757124999999995,25.422725
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-4.059325,6.1056,6.909749999999999,-41.585925
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.483349999999996,8.641099999999998,7.765225000000003,12.114800000000002
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,6.203125,11.733275000000004,6.286974999999997,-113.0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,7.03335,7.39865,15.785525000000005,7.226875
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,3.5003500000000014,14.747,3.148175,6.682125000000006
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,1.065900000000001,12.543699999999998,14.273024999999995,19.786875
Gal(b1-4)GlcNAc(b1-Sp0,9.680924999999997,11.766174999999995,11.750575,10.405175
Gal(b1-4)GlcNAc(b1-Sp8,-3.2477,10.348299999999998,2.32785,7.691449999999998
Gal(b1-4)GlcNAc(b1-Sp23,10.950174999999994,6.378775000000003,3.5785750000000007,22.721699999999995
Gal(b1-4)Glc(b1-Sp0,8.479524999999999,4.031725,9.4067,22.099625000000003
Gal(b1-4)Glc(b1-Sp8,8.537175000000003,5.437624999999999,-0.3814749999999991,5.563274999999997
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,-3.0597000000000065,5.756424999999999,6.834499999999999,6.374699999999998
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,19.71555,7.666875,7.119649999999999,44.7936
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,5.1952,2.8188000000000004,4.9749250000000025,12.043500000000002
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,15.08,11.432224999999995,2.89205,12.3756
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,7.817100000000003,13.9642,10.240225,-21.51400000000001
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,14.201149999999995,8.629350000000002,12.89095,-82.29580000000001
GlcNAc(b1-3)GalNAc(a1-Sp8,14.983424999999995,6.834575000000001,2.84995,-17.447250000000004
GlcNAc(b1-3)GalNAc(a1-Sp14,4.62955,6.203149999999999,0.4492249999999993,5.0775
GlcNAc(b1-3)Gal(b1-Sp8,12.349775000000005,10.38585,1.926574999999998,24.534875
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.34555,0.20485,6.219924999999999,11.8436
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,5.6790249999999975,2.051300000000001,5.270124999999998,-3.949725000000001
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.96345,6.0905000000000005,26.688025000000003,13.019550000000002
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-0.029199999999997683,4.763099999999998,3.079975,-11.38005
GlcNAc(b1-4)(a1-MDPLys,8.901225,9.277825000000004,4.666975000000002,3.487475
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,0.4004000000000003,13.9515,8.638550000000002,-156.36625
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,6.6175,1.335399999999999,4.854575000000001,10.00195
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,11.143574999999995,5.96835,9.910700000000002,125.6175
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,9.811849999999996,-0.13145000000000007,-0.1831500000000004,80.911525
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,8.613199999999999,3.7054750000000007,9.948325,105.045
GlcNAc(b1-6)GalNAc(a1-Sp8,41.58759999999999,20.350775,4.851099999999998,-0.8205500000000008
GlcNAc(b1-6)GalNAc(a1-Sp14,9.342100000000002,11.20135,4.9128750000000005,8.408250000000004
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,12.280549999999995,8.805750000000002,26.829325000000004,24.52625
Glc(a1-4)Glc(b1-Sp8,22.71395,7.3607,25.632925,11.899399999999995
Glc(a1-4)Glc(a1-Sp8,5.776399999999999,5.999725,5.8043999999999984,12.599275
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,10.0103,6.325,8.915075000000002,21.918599999999994
Glc(b1-4)Glc(b1-Sp8,18.789875,8.097675,9.0895,17.1286
Glc(b1-6)Glc(b1-Sp8,11.50095,4.866624999999999,1.4925749999999995,29.511375
G-ol(a1-Sp8,10.740799999999998,3.012450000000001,12.012174999999996,7.025925000000013
GlcA(a1-Sp8,8.6149,0.9366250000000004,2.7497500000000006,-26.859349999999946
GlcA(b1-Sp8,80.094425,34.467650000000006,32.9513,0.942699999999995
GlcA(b1-3)Gal(b1-Sp8,15.097124999999995,6.658499999999999,9.2901,-79.852
GlcA(b1-6)Gal(b1-Sp8,5.796500000000003,6.406550000000001,7.911649999999997,-10.831649999999993
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,15.027,7.012024999999999,-0.6892500000000004,-166.397475
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,9.511924999999998,7.108999999999999,10.445474999999998,-4.901824999999999
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,10.19045,2.0675750000000006,9.8304,11.452374999999995
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,9.847124999999991,3.987474999999998,10.726875,-2.7264000000000035
Man(a1-2)Man(a1-3)Man(a1-Sp9,10.542999999999996,3.0263500000000008,10.70675,9.868250000000003
