IUPAC,HAA 0.1ug/ml,HAA 1ug/ml,HAA 10ug/ml,HAA 100ug/ml
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,3.3339,0.763325,2.5490249999999985,9.116399999999997
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,0.3365500000000008,8.058324999999998,1.4775250000000004,1.8916500000000005
Gal(b1-3)GalNAc(a1-Sp8,14.725825000000004,37.14625,831.8819,1477.3723749999995
Gal(b1-3)GalNAc(a1-Sp14,5.837924999999999,9.646750000000004,1.7924000000000015,354.5308
Gal(b1-3)GalNAc(a1-Sp16,0.41,4.946700000000001,104.541175,1459.6127500000007
Gal(b1-3)GalNAc(b1-Sp8,-4.081624999999999,5.9852750000000015,5.5427,4.535474999999996
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,8.088175000000001,2.962225000000004,20.989825000000003,30.04
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,12.283374999999996,2.004225000000001,1.431375,3.106950000000001
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,3.705400000000002,3.584675,9.04125,-6.71295
Gal(b1-3)Gal(b1-Sp8,10.503175,5.771049999999998,9.080599999999997,3.8565250000000013
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.92275,11.8595,0.6732499999999995,23.183775
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-0.17147500000000004,4.23895,1.1159499999999998,-2.3144250000000017
Gal(b1-3)GlcNAc(b1-Sp0,4.10125,-1.8288250000000008,4.125775000000003,-2.1220750000000006
Gal(b1-3)GlcNAc(b1-Sp8,0.9011999999999992,2.2697249999999984,5.9665250000000025,13.270850000000005
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.43965,2.768225,10.587125,6.393324999999999
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,24.807925,2.3527500000000003,-0.24247500000000025,24.668549999999986
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.937825,3.56455,6.798299999999998,34.62179999999999
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1.8398500000000009,8.128700000000002,7.043274999999999,-5.955974999999998
Gal(b1-4)(6S)Glc(b1-Sp0,1.9703000000000008,2.710874999999999,2.1622749999999984,2.167825000000001
Gal(b1-4)(6S)Glc(b1-Sp8,9.894975,0.3668000000000005,2.421849999999999,-5.924200000000006
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.389825,5.089250000000002,2.5888500000000008,3.3286
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.670525,11.60465,8.491699999999998,2.369699999999999
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,3.1733,6.5391,6.0878000000000005,13.941474999999993
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,13.4939,3.3034250000000007,13.3349,3.8335
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.1468,8.668650000000001,3.06115,71.63002499999997
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-0.4695499999999999,7.250099999999999,39.281275,5.19225
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.112100000000002,2.1620750000000006,0.3936250000000001,-11.371475000000006
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,2.42775,0.4012500000000023,6.0115000000000025,-1.2228250000000018
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,24.070975000000004,5.8786999999999985,2.5451749999999977,45.35072500000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.823424999999999,5.67625,8.847575000000003,4.217825
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,4.908100000000001,6.630174999999999,2.935324999999999,14.832425
Gal(b1-4)GlcNAc(b1-Sp0,3.3732500000000005,5.635774999999998,8.61175,-3.33625
Gal(b1-4)GlcNAc(b1-Sp8,82.1,5.1548500000000015,3.0131999999999994,356.05512500000015
Gal(b1-4)GlcNAc(b1-Sp23,8.7329,1.0731000000000002,4.924900000000001,14.776224999999995
Gal(b1-4)Glc(b1-Sp0,27.96725,5.591574999999999,4.769525,8.614199999999983
Gal(b1-4)Glc(b1-Sp8,10.300975,11.37615,7.3783499999999975,5.8675250000000005
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,14.86815,17.5821,6768.391725,28709.055175
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,3.5847749999999983,-0.216875,-1.3546499999999997,2627.5106000000005
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,9.623975,0.9512499999999988,1.878400000000001,2.9236499999999523
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,0.8494749999999982,10.73425,7.8729999999999976,4.992925
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,3.516675000000001,15.03795,6.921624999999999,-6.183275000000003
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,0.07074999999999987,1.2738749999999994,2.527725000000002,38.99965
GlcNAc(b1-3)GalNAc(a1-Sp8,4.518875,6.495849999999999,4.057024999999999,1.1371999999999982
GlcNAc(b1-3)GalNAc(a1-Sp14,6.19355,3.952625,5.759500000000001,12.241825000000002
GlcNAc(b1-3)Gal(b1-Sp8,5.752849999999999,6.748025,8.799399999999997,11.5138
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.5027000000000013,4.80055,7.746875,3.2975
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,2.36395,5.877699999999999,-0.0032999999999998586,3.901424999999999
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.700949999999999,5.479325000000001,0.5033499999999993,22.73210000000001
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,11.240900000000002,1.2683249999999997,-0.5478999999999998,13.104724999999998
GlcNAc(b1-4)(a1-MDPLys,15.498075000000007,1.0213249999999996,6.2101250000000014,12.221599999999967
