IUPAC,MOA (0.1ug/ml),MOA (1ug/ml),MOA (10ug/ml)
Gal(b1-3)GalNAc(b1-Sp8,5.129775,6.7356,7.645075
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,5.333425,16.3075,21.377275
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.058225,15.210275,8.46035
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,14.236075,39.308775,24.08425
Gal(b1-3)Gal(b1-Sp8,9.355325,7.51185,9.008875
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-0.975125,19.2605,9.483275
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,2.86255,11.828775,3.53015
Gal(b1-3)GlcNAc(b1-Sp0,23.799075,9.232075,8.066975
Gal(b1-3)GlcNAc(b1-Sp8,4.888875,23.54075,19.810525
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,17.28515,15.158325,7.08105
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1.604275,6.8616,8.0914
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.2209,17.2478,20.06435
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.191,8.1602,4.904925
Gal(b1-4)(6S)Glc(b1-Sp0,15.254875,5.349875,10.0941
Gal(b1-4)(6S)Glc(b1-Sp8,46.26805,17.75155,14.94895
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.89035,3.05575,10.732575
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,6.119775,16.5293,6.513
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,3.445875,8.4774,5.045175
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,22.673825,11.82605,19.41745
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.2138,11.547625,17.5103
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.974475,21.63385,3.383475
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.67105,15.1157,18.093675
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,3.278975,25.0022,12.1696
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,4.35175,3.7922,14.24345
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,17.13615,11.735875,9.52405
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,7.8825,17.033025,3.664725
Gal(b1-4)GlcNAc(b1-Sp0,15.05735,13.757325,25.938075
Gal(b1-4)GlcNAc(b1-Sp8,3.6265,18.00375,8.180425
Gal(b1-4)GlcNAc(b1-Sp23,11.818075,26.9,10.23305
Gal(b1-4)Glc(b1-Sp0,14.122675,24.439375,6.158275
Gal(b1-4)Glc(b1-Sp8,4.646775,30.219,5.5843
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,16.9832,6.4004,7.510625
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,10.097325,11.1048,0.987675
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,22.439075,18.144375,15.4845
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,4.68025,20.15625,15.822875
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,9.843225,7.377475,7.811925
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,11.2241,7.22615,12.820925
GlcNAc(b1-3)GalNAc(a1-Sp8,7.307125,12.7686,8.514675
GlcNAc(b1-3)GalNAc(a1-Sp14,8.719225,15.91755,14.8292
GlcNAc(b1-3)Gal(b1-Sp8,13.643425,15.603025,4.382675
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.385,4.219075,11.197175
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,19.57815,5.4713,3.261225
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,23.923425,14.52425,20.445925
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,3.0387,8.8354,3.6271
GlcNAc(b1-4)(a1-MDPLys,13.3576,10.81275,1.654725
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,8.0251,20.079325,3.200425
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,1.9016,-8.3424,-4.90865
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,20.46365,25.5999,6.44165
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,4.28755,7.8589,17.0719
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,17.03195,7.1572,3.818975
GlcNAc(b1-6)GalNAc(a1-Sp8,15.589825,7.270475,2.132625
GlcNAc(b1-6)GalNAc(a1-Sp14,10.52955,14.69655,2.857675
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,8.66305,10.112925,3.654125
Glc(a1-4)Glc(b1-Sp8,15.609725,9.57245,9.053975
Glc(a1-4)Glc(a1-Sp8,11.734875,7.836375,13.541125
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,17.391775,21.0293,7.991925
Glc(b1-4)Glc(b1-Sp8,11.71535,19.950525,7.294275
Glc(b1-6)Glc(b1-Sp8,5.639,23.5284,13.13845
G-ol(a1-Sp8,2.820175,8.660575,8.2427
GlcA(a1-Sp8,22.943975,0.88885,-8.3312
GlcA(b1-Sp8,60.0517,80.25165,58.554075
GlcA(b1-3)Gal(b1-Sp8,13.71725,10.967,2.581675
GlcA(b1-6)Gal(b1-Sp8,18.319575,8.36195,14.6666
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,7.6717,17.319625,1.523325
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,10.215325,10.64005,7.8914
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,4.6915,13.801775,21.358025
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,16.8032,14.558275,5.58445
Man(a1-2)Man(a1-3)Man(a1-Sp9,10.310275,4.677925,19.78275
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,12.340675,18.056375,5.619325
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-6.051375,3.214825,-2.40455
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,59.136825,57.8372,47.249
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,8.8042,8.29165,5.557325
