IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.26655,10.263925,6.307275,9.217325,57.436875
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,12.569325,14.418125,28.32735,62.1997,65.9084
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,11.771175,9.374825,5.690125,23.242775,12.4715
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,0.2048,11.2005,3.57315,19.280675,8.510225
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,526.527775,10640.17595,32015.86203,33415.6575,35336.01218
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,38.82325,11.2384,15.436225,23.27465,132.3493
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,246.08565,2369.10965,6339.8501,8839.409675,22678.36418
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,2.26505,16.4293,6.9613,-2.35555,64.8047
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.98565,-0.560575,-0.6884,4.516975,5.26875
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,6.33635,10.937525,6.52805,4.2031,54.390325
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,3.32375,-7.3728,4.22755,19.921175,22.084275
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,3.952925,5.129625,19.1129,17.092575,49.913925
Gal(b1-3)GalNAc(a1-Sp8,12.064025,6.298975,13.37915,23.156075,81.293625
Gal(b1-3)GalNAc(a1-Sp14,15.48725,0.06645,8.832675,6.2163,123.869075
Gal(b1-3)GalNAc(a1-Sp16,10.918875,17.382575,3.905875,24.3585,335.1243
Gal(b1-3)GalNAc(b1-Sp8,12.11,19.1256,6.683575,9.61,47.62405
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,20.04495,2.329375,31.3929,23.371075,81.14265
