IUPAC,MOA (0.1ug/ml),MOA (1ug/ml),MOA (10ug/ml)
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,6.4883545,4.101030268,9.015926547
Gal(b1-3)GlcNAc(b1-Sp0,7.425460594,4.21246382,4.85050347
Gal(b1-3)GlcNAc(b1-Sp8,5.788885268,19.2517104,12.27822265
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.66957928,9.38680209,4.436695751
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,9.141007268,6.855782229,3.155932227
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.868454997,4.161522455,4.389528411
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.495555365,6.045038742,6.388988066
Gal(b1-4)(6S)Glc(b1-Sp0,8.112065804,3.26722258,7.742234609
Gal(b1-4)(6S)Glc(b1-Sp8,30.81478744,8.047904535,11.92549228
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.443740369,3.294705904,6.872995042
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.077955304,15.23526074,5.389256485
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,1.864398254,16.84596946,4.518306688
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,13.20234907,9.864087483,3.657082332
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.30103568,4.864144937,7.241542637
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.798762616,7.234788697,8.017118842
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.358444286,15.6495441,9.497870849
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,4.118695147,9.827759489,5.614462154
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,7.540823797,6.806412083,10.21495651
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.384904453,12.74205534,6.246691186
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,1.152343407,3.974604587,6.585153558
Gal(b1-4)GlcNAc(b1-Sp0,5.190217316,16.58851888,7.668732458
Gal(b1-4)GlcNAc(b1-Sp8,3.125951464,6.203534272,7.845974117
Gal(b1-4)GlcNAc(b1-Sp23,5.510510753,13.0859577,5.923517697
Gal(b1-4)Glc(b1-Sp0,8.042495017,8.239136594,3.539962832
Gal(b1-4)Glc(b1-Sp8,5.469309422,13.95193059,3.886653568
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,12.33826165,6.50927001,9.387327265
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,4.335363513,11.45228519,2.996289566
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,4.828799322,7.398851324,7.180634687
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,11.07777547,12.263385,11.24886297
