IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,15.520679,6.945646705,6.532288368,8.201134043,10.44684771
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,4.366372405,14.53899836,2.657732287,8.882624257,10.73152928
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,58.20431493,1702.223957,802.3694305,395.1951447,1395.609585
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,40.05930186,14.35599127,6.365076528,18.68111648,35.46471423
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,17.67453255,159.4043657,366.8498252,419.5040768,1405.239973
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,9.490241803,19.75422556,12.89246287,11.00194885,24.15284129
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,2.498557691,5.491045597,2.991258754,1.522860469,6.396069684
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,7.403963503,22.47944828,11.1757398,9.170848384,29.05823925
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,4.6861973,3.077862697,5.138414514,10.34011862,14.47812873
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,5.828481053,3.307629386,11.56625512,6.550598974,11.47922652
Gal(b1-3)GalNAc(a1-Sp8,9.507565598,6.847065011,20.4477343,10.54768971,9.797961391
Gal(b1-3)GalNAc(a1-Sp14,9.414678707,4.54962248,5.242822936,5.415393083,62.59669331
Gal(b1-3)GalNAc(a1-Sp16,6.441693232,11.42278875,4.234435409,15.86325613,321.0386534
Gal(b1-3)GalNAc(b1-Sp8,14.85404148,15.98558194,4.717972292,3.813398129,25.24821362
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,10.74189431,8.319971386,26.66683206,12.24653936,58.48526976
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.108993548,7.48038334,4.928987724,2.927214934,69.92537725
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,16.62097025,10.67411973,17.96231015,14.58430712,10.07510659
Gal(b1-3)Gal(b1-Sp8,8.615274994,8.360490331,3.776221622,7.238540937,73.71050846
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.244061272,19.27808054,114.1694935,831.062184,1153.84151
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,4.693969799,11.19638185,2.450876615,13.74635233,27.04657879
Gal(b1-3)GlcNAc(b1-Sp0,17.60900282,6.758040584,10.76353105,4.442696813,29.98596038
Gal(b1-3)GlcNAc(b1-Sp8,9.624474176,33.26555684,115.3431058,138.172175,80.78848934
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.40298747,14.01117033,11.89870143,30.45001458,126.4792584
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,15.38956154,6.251097269,3.611330402,15.04447598,5.93412342
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.482824923,3.791971507,13.75416147,24.27073143,14.01368222
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.203487317,10.47555038,14.87012351,8.395725767,36.24664534
Gal(b1-4)(6S)Glc(b1-Sp0,1.740128821,11.24052105,18.28262091,2.652569868,224.1367951
Gal(b1-4)(6S)Glc(b1-Sp8,14.68334866,16.82669721,15.41197942,20.33439404,32.33378712
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,4.923510611,39.85235666,1147.575064,1668.093274,1956.954463
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.190817736,73.33095387,196.8451186,428.9761839,6954.932238
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,10.87318954,7.163787556,8.880747667,14.90263969,26.09223049
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,5.979639916,11.16667369,2.696192243,26.13353547,75.63959938
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.570009188,8.31104074,4.736833333,9.57631209,67.51181004
