IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
GalNAc(a1-3)GalNAc(b1-Sp8,8.570503639,6.000725501,12.29293641,3.366700717,10.61595137
GalNAc(a1-3)Gal(b1-Sp8,15.84536007,1.5663929330000002,7.181256553,10.94427438,14.88401463
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,18.33993121,8.051157829,9.699848879,4.693460711,8.389903817
GalNAc(b1-3)GalNAc(a1-Sp8,5.189075869,11.6476288,21.71093156,22.48397196,23.56841681
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,18.32969027,10.13054644,33.888396,8.453570471,26.63000981
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,7.245934472,10.57558388,18.91267506,16.23338313,4.52245368
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.33457849,10.58219085,3.330408357,14.0589331,14.89162596
GalNAc(b1-4)GlcNAc(b1-Sp0,4.003005887,25.02538364,21.32759002,213.84097680000002,188.9476088
GalNAc(b1-4)GlcNAc(b1-Sp8,10.75258599,8.507798115,10.71889471,157.66005869999995,812.0346982000003
Gal(a1-2)Gal(b1-Sp8,3.6856855939999997,8.155236484,9.66677272,3.1782933769999997,8.05139542
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,2.090891554,4.19695868,20.63882769,3.4502975339999997,14.62179292
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,8.24851105,13.53048083,41.774963,5.469534837,10.45952079
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.94878976,7.217384462,25.96794142,9.383415935,12.285509800000002
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.52547306,6.918562205,11.09759005,9.610215417000001,17.05911444
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,2.6012352830000003,8.666627799,1.870627145,6.383207939,14.17000524
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,7.9378848070000005,9.180603078999999,8.204063496,4.500521012,7.651768842999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,6.72015781,4.500224251000001,12.77453047,8.676256112,12.67476663
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,11.84238751,14.67044376,13.17198449,7.050254746,8.948211706
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,14.72694619,8.966373741,36.50988418,37.10522062,11.46537451
Gal(a1-3)GalNAc(a1-Sp8,16.31289702,3.937167683,30.88343813,36.73307435,4.422294754
Gal(a1-3)GalNAc(a1-Sp16,11.68687436,3.273767206,9.971993277000001,11.97108911,21.26556797
Gal(a1-3)GalNAc(b1-Sp8,6.951156925,4.256013356,6.910944796,9.207066591,15.24538445
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,17.13309427,5.429527667,7.6314546000000005,11.5855095,7.4776663710000015
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,2.516065291,9.133185284,2.907409157,9.221570493,8.746561503999999
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,8.289227574,11.053983500000001,15.96105021,2.198044826,6.1654171589999995
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,13.13021238,24.55719235,21.02604361,8.646541195,37.787501
