IUPAC,SNA (0.001ug/ml),SNA (0.005ug/ml),SNA (0.1ug/ml),SNA (0.5ug/ml),SNA 0.5ug/ml,SNA (1ug/ml),SNA (5ug/ml),SNA 10ug/ml,SNA 100ug/ml
(6S)Gal(b1-4)Glc(b1-Sp0,0.7274999999999956,11.343600000000004,11.479025000000002,3.8090500000000014,4831.375525,16.942900000000012,7.568125,39.89800000000001,5051.259550000002
(6S)Gal(b1-4)Glc(b1-Sp8,7.108375000000006,21.521325000000004,7.784875000000001,5.12665,1074.8002250000004,29.83370000000001,-2.9285499999999995,256.7899,3717.0075
(6S)Gal(b1-4)GlcNAc(b1-Sp8,22.895450000000004,-0.6294000000000004,9.846049999999998,1.0978750000000022,17582.642375000003,-11.687925000000005,-1.5189499999999967,121.60215,24875.49537500001
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,20.886650000000003,9.448175,5.9427749999999975,10.012525000000002,18910.666325,8.853349999999997,17.479525,1364.7370500000004,22843.4392
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,29.85925000000001,1.3683499999999995,2.2197,11.339925000000004,479.169275,2.1824749999999966,3.583050000000002,120.346625,-136.9776
(6S)GlcNAc(b1-Sp8,2.8486749999999965,5.7996,10.577550000000002,2.8587750000000014,138.3025,-11.070499999999996,-2.286225,502.15562500000016,-133.336975
"Neu5,9Ac2(a1-Sp8",-20.314224999999983,5.072724999999998,7.355,20.801475,116.140575,-26.039175,4.270625000000007,-6.5291250000000005,-55.78605000000001
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",147.82775,28.363775,719.58185,4808.431425,49009.081825,5206.779124999999,23432.444175,43136.77430000001,39795.284749999984
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,40.621825,37.63475,41.054575000000014,23.77965,-73.33315,83.88590000000002,40.6343,195.20337500000005,20.874574999999982
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,43.821825,45.26537499999999,64.46682500000001,49.051675,-101.99644999999998,33.136875,21.22845,734.1220749999999,41.238575
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,25.699249999999992,7.8017249999999985,12.865874999999996,10.023549999999997,-90.005575,12.576775,15.634124999999996,120.482425,25.80787500000001
