IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.717125,3.716875,2.1553,-5.615325,1.5819
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,2.69985,5.44375,-2.734225,12.510525,12.23175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,17.29995,22.069125,20.71685,6.395375,19.44195
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,1.79635,6.540575,8.10975,17.117675,7.474575
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,12.11175,30.636375,24.145,19.589525,9.852675
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,24.993,19.408525,24.610175,79.2759,46.303625
Gal(a1-3)GalNAc(a1-Sp8,50.297325,9.1849,19.445975,35.552275,4.529375
Gal(a1-3)GalNAc(a1-Sp16,2.91935,9.33135,10.79275,0.265125,-4.01115
Gal(a1-3)GalNAc(b1-Sp8,6.427275,1.582725,-4.77535,13.033725,5.9899
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,15.484025,8.869175,-0.587575,-6.1733,4.95875
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,-5.36215,3.80315,-1.81665,-2.19645,-14.307375
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,10.942,14.985725,1.731325,-2.68515,9.6006
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,1.193175,18.126525,2.369175,-0.903425,30.4829
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,30.796125,26.905975,17.09835,-6.0259,34.11595
Gal(a1-3)Gal(b1-Sp8,-0.08765,2.730175,-12.649725,-8.82285,-1.561625
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,30.3159,13.017075,2.786525,3.50055,11.027475
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,3.842925,10.358925,14.612075,-2.7215,10.6614
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,19.732975,7.66675,0.374675,14.449525,0.4015
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,30.61295,8.609625,31.71945,2.25805,5.176025
Gal(a1-4)GlcNAc(b1-Sp8,0.156125,5.4189,-3.67995,-6.527075,-9.182325
Gal(a1-6)Glc(b1-Sp8,4.171125,7.04395,-0.161775,1.45485,3.303625
Gal(b1-2)Gal(b1-Sp8,6.478925,10.722725,-12.8567,-14.0995,7.5167
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.719,10.46435,-4.694025,11.436,-3.199025
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-3.270425,7.6572,-16.09505,13.282325,-7.7043
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,8.95425,11.44565,-13.337775,7.0082,0.4593
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,-9.17645,0.826675,2.831275,16.178325,-11.864475
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,-2.28945,16.704275,5.38805,5.1094,-3.2165
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,3.778675,45.10465,156.571625,1047.534475,5863.106125
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,21.27975,25.40085,41.0234,5.362775,38.869125
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,6.990325,2.009475,1.1074,13.656425,5.428275
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,0.091575,-5.666975,-2.420025,-11.119375,-7.668225
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-10.774825,-4.29695,-1.3485,-13.3263,-0.227225
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,-1.77295,6.90715,-16.636975,-24.29275,10.052275
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-16.43355,-8.830325,-13.7873,2.79925,-23.804525
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,3.307225,10.96565,9.92695,9.77905,-5.123825
Gal(b1-3)GalNAc(a1-Sp8,-4.160625,6.49585,-9.9578,-4.549775,-19.535175
Gal(b1-3)GalNAc(a1-Sp14,16.186475,4.5757,0.193625,2.314625,49.517775
Gal(b1-3)GalNAc(a1-Sp16,-9.117375,15.24605,-15.90205,-9.11085,-15.1954
Gal(b1-3)GalNAc(b1-Sp8,6.980025,-5.42185,-4.6818,15.278475,-1.087
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,8.392575,19.834925,13.854475,8.036675,2.042925
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,-1.1422,-2.557825,9.069225,-13.1177,-3.615
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,9.754275,26.75955,-0.0294,19.354875,-4.65935
Gal(b1-3)Gal(b1-Sp8,0.367925,5.704225,4.516375,2.87325,-4.076325
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-0.26165,2.364225,-0.065325,8.0651,6.14555
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1.29605,-7.074675,-2.50105,-4.709275,-0.202975
Gal(b1-3)GlcNAc(b1-Sp0,4.32735,-2.6453,-4.796725,9.147325,-4.26705
Gal(b1-3)GlcNAc(b1-Sp8,0.49735,7.406175,15.54965,-1.901,5.979775
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.046025,-2.491475,-0.1131,2.9369,-0.762725
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,10.277175,7.560125,19.28625,-12.12625,28.529175
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.016225,1.366075,7.1524,14.21685,13.64085
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.3475,7.257475,-10.0954,37.46635,32.18805
Gal(b1-4)(6S)Glc(b1-Sp0,4.289,36.006225,7.0157,14.67485,310.950125
Gal(b1-4)(6S)Glc(b1-Sp8,10.664625,6.78295,22.752775,-2.598025,149.446725
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.350675,1.179775,-1.057975,-8.514225,2.9467
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-2.285875,-0.9376,-20.0436,0.63115,-4.620475
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,8.2749,9.110825,35.866675,1043.7718,3434.4039
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,-4.037175,3.7298,4.141675,278.391075,1902.212025
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,21.027175,38.0694,90.439375,1173.651775,4535.331225
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,13.763525,65.304625,251.598625,1745.455175,4875.51505
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.028375,97.555725,455.148825,2522.53795,9969.028875
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,18.114575,40.923275,292.795,2400.342725,5703.897375
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,5.55765,34.179625,223.7604,958.8646,10849.7829
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,4.3564,23.44485,78.403,872.6253,6443.950575
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,-5.946425,1.8964,7.8032,168.873925,3317.59465
Gal(b1-4)GlcNAc(b1-Sp0,10.15165,10.6992,32.185825,80.578275,1711.9578
Gal(b1-4)GlcNAc(b1-Sp8,-1.208025,32.496775,217.12905,1810.050925,5952.700875
Gal(b1-4)GlcNAc(b1-Sp23,-1.239375,9.415875,50.431775,1314.964125,4177.210275
Gal(b1-4)Glc(b1-Sp0,18.81735,24.54745,13.789025,10.760575,-4.6891
Gal(b1-4)Glc(b1-Sp8,5.747125,14.2614,2.55955,7.177125,5.05115
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,5.688775,-9.000175,-8.59605,-11.676125,-25.55715
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,2.7475,-1.536725,1.22295,-13.066975,-10.734375
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,2.946225,-11.498075,5.899325,4.353275,-10.90475
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,-0.6476,4.20685,2.0139,-6.82235,-2.451975
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,11.937825,14.061825,-3.2816,6.366075,13.80325
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,16.333325,11.11585,-3.3865,4.02445,23.7126
GlcNAc(b1-3)GalNAc(a1-Sp8,28.9823,15.71245,6.705925,9.2096,3.816225
GlcNAc(b1-3)GalNAc(a1-Sp14,4.36695,2.47255,4.830525,4.441425,1.988275
GlcNAc(b1-3)Gal(b1-Sp8,1.5141,3.75285,-4.51255,12.006225,-6.887525
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-6.76075,12.9314,-6.034975,-12.99455,-14.125
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,-9.924225,-12.4678,-21.790125,-15.588475,-20.8925
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,13.77745,24.81365,13.5595,4.27345,62.40125
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-9.375075,0.632375,-20.63735,-4.42,-19.111825
GlcNAc(b1-4)(a1-MDPLys,13.788025,-0.26525,-20.86715,-10.497525,10.241025
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,5.272175,4.54525,-18.42855,-5.26485,-21.23195
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,7.22915,0.26705,-5.395925,4.597575,-14.071675
