Index,IUPAC,IUPAC (Unselected)
96,GalNAc(b1-4)GlcNAc(b1-Sp0,GalNAc(b1-4)GlcNAc(b1-Sp0
97,GalNAc(b1-4)GlcNAc(b1-Sp8,GalNAc(b1-4)GlcNAc(b1-Sp8
98,Gal(a1-2)Gal(b1-Sp8,Gal(a1-2)Gal(b1-Sp8
99,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0
100,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8
101,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
102,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
103,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0
104,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0
105,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8
106,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18
107,Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8
108,Gal(a1-3)GalNAc(a1-Sp8,Gal(a1-3)GalNAc(a1-Sp8
109,Gal(a1-3)GalNAc(a1-Sp16,Gal(a1-3)GalNAc(a1-Sp16
110,Gal(a1-3)GalNAc(b1-Sp8,Gal(a1-3)GalNAc(b1-Sp8
111,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
112,Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0
113,Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8
114,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0
115,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,Gal(a1-3)Gal(b1-4)Glc(a1-Sp10
116,Gal(a1-3)Gal(b1-Sp8,Gal(a1-3)Gal(b1-Sp8
117,Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
118,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0
119,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8
120,Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
121,Gal(a1-4)GlcNAc(b1-Sp8,Gal(a1-4)GlcNAc(b1-Sp8
122,Gal(a1-6)Glc(b1-Sp8,Gal(a1-6)Glc(b1-Sp8
123,Gal(b1-2)Gal(b1-Sp8,Gal(b1-2)Gal(b1-Sp8
124,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
125,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
126,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0
127,Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 
128,Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8
,,Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8
129,Gal(b1-4)GlcNAc(b1-6)GalNAc(b1-Sp14,Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14
130,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8 ,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8
131,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
132,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8
133,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14
134,Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8
135,Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10
136,Gal(b1-3)GalNAc(a1-Sp8,Gal(b1-3)GalNAc(a1-Sp8
137,Gal(b1-3)GalNAc(a1-Sp14,Gal(b1-3)GalNAc(a1-Sp14
138,Gal(b1-3)GalNAc(a1-Sp16,Gal(b1-3)GalNAc(a1-Sp16
139,Gal(b1-3)GalNAc(b1-Sp8,Gal(b1-3)GalNAc(b1-Sp8
140,Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
141,Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
142,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8
143,Gal(b1-3)Gal(b1-Sp8,Gal(b1-3)Gal(b1-Sp8
144,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
145,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10
146,Gal(b1-3)GlcNAc(b1-Sp0,Gal(b1-3)GlcNAc(b1-Sp0
147,Gal(b1-3)GlcNAc(b1-Sp8,Gal(b1-3)GlcNAc(b1-Sp8
148,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
149,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
150,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
151,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
152,Gal(b1-4)(6S)Glc(b1-Sp0,Gal(b1-4)(6S)Glc(b1-Sp0
153,Gal(b1-4)(6S)Glc(b1-Sp8,Gal(b1-4)(6S)Glc(b1-Sp8
154,Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
155,Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
156,Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8
157,Gal(b1-4)GlcNAc(b1-3)GalNAc(b1-Sp14,Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14
158,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
159,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
160,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
161,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0
162,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8
163,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8
164,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(b1-Sp14,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
165,Gal(b1-4)GlcNAc(b1-Sp0,Gal(b1-4)GlcNAc(b1-Sp0
