Index,IUPAC
224,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
225,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8
226,Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
227,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0
228,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8
229,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
230,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
231,Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8
232,Neu5Ac(a2-3)GalNAc(a1-Sp8
233,Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0
234,Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(a1-Sp8
235,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8
236,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
237,Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8
238,Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8
239,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8
240,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14
241,Neu5Ac(a2-3)Gal(b1-Sp8
242,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
243,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
244,Fuc(a1-2)(6S)Gal(b1-4)Glc(b1-Sp0
245,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
246,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp8
247,Neu5Ac(a2-3)Gal(b1-4)(6S)GlcNAc(b1-Sp8
248,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8
249,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
250,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
251,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
252,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-Sp8
253,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
254,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
255,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
256,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8
257,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
258,Fuc(a1-2)Gal(b1-4)(6S)Glc(b1-Sp0
259,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
260,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp8
261,Neu5Ac(a2-6)GalNAc(a1-Sp8
262,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0
263,Neu5Ac(a2-6)Gal(b1-4)(6S)GlcNAc(b1-Sp8
264,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0
265,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8
266,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
267,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
268,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp0
269,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp8
270,Neu5Ac(a2-6)Gal(b1-Sp8
271,Neu5Ac(a2-8)Neu5Ac(a1-Sp8
272,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
273,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
274,Neu5Ac(b2-6)GalNAc(a1-Sp8
275,Neu5Ac(b2-6)Gal(b1-4)GlcNAc(b1-Sp8
276,Neu5Gc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
277,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
278,Neu5Gc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
279,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
280,Neu5Gc(a2-3)Gal(b1-4)Glc(b1-Sp0
281,Neu5Gc(a2-6)GalNAc(a1-Sp0
282,Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-Sp0
283,Neu5Gc(a1-Sp8
284,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
285,Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
286,Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp0
287,Gal(b1-4)[Fuc(a1-3)](6S)Glc(b1-Sp0
288,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
289,Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
290,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
291,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
292,4S(3S)Gal(b1-4)GlcNAc(b1-Sp0
